Strain	State	Collection Data	PANGO Lineage
hCoV-19/India/DL-NCDC-1009138/2020	Delhi	22/12/20	B.1.1
hCoV-19/India/DL-NCDC-1009111/2020	Delhi	18/12/20	B.1.1
hCoV-19/India/DL-NCDC-1009115/2020	Delhi	18/12/20	B.1.1
hCoV-19/India/DL-NCDC-1009119/2020	Delhi	18/12/20	B.1.1
hCoV-19/India/DL-NCDC-1009121/2020	Delhi	18/12/20	B.1.1
hCoV-19/India/DL-NCDC-1009113/2020	Delhi	18/12/20	B.1.1
hCoV-19/India/DL-NCDC-1009145/2020	Delhi	22/12/20	B.1.1
hCoV-19/India/DL-NCDC-1009133/2020	Delhi	19/12/20	B.1.1
hCoV-19/India/DL-NCDC-1209189/2021	Delhi	16/01/21	B.1
hCoV-19/India/DL-NCDC-70959/2020	Delhi	21/12/20	B.1
hCoV-19/India/DL-NCDC-70962/2020	Delhi	21/12/20	B.1.1
hCoV-19/India/DL-NCDC-909338/2020	Delhi	19/12/20	B.1.1
hCoV-19/India/DL-NCDC-709372/2020	Delhi	04/12/20	B.1.1
hCoV-19/India/DL-NCDC-709369/2020	Delhi	25/11/20	B.1
hCoV-19/India/DL-NCDC-909190/2020	Delhi	17/12/20	B.1
hCoV-19/India/DL-NCDC-1009152/2020	Delhi	22/12/20	B.1.1
hCoV-19/India/DL-NCDC-1009130/2020	Delhi	19/12/20	B.1.1
hCoV-19/India/DL-NCDC-1009125/2020	Delhi	19/12/20	B.1.1
hCoV-19/India/DL-NCDC-1009136/2020	Delhi	20/12/20	B.1.1
hCoV-19/India/DL-NCDC-609381/2020	Delhi	15/12/20	Others
hCoV-19/India/DL-NCDC-1509228/2021	Delhi	03/02/21	Others
hCoV-19/India/DL-NCDC-70955/2020	Delhi	20/12/20	B.1.1
hCoV-19/India/DL-NCDC-70954/2020	Delhi	20/12/20	B.1.1
hCoV-19/India/DL-NCDC-1009189/2020	Delhi	28/11/20	Others
hCoV-19/India/DL-NCDC-909163/2020	Delhi	25/11/20	B.1.1
hCoV-19/India/DL-NCDC-909169/2020	Delhi	26/11/20	B.1.1
hCoV-19/India/DL-NCDC-609227/2020	Delhi	21/12/20	B.1.1
hCoV-19/India/DL-NCDC-809224/2020	Delhi	25/11/20	Others
hCoV-19/India/DL-NCDC-809245/2020	Delhi	15/12/20	B.1.1
hCoV-19/India/DL-NCDC-809223/2020	Delhi	25/11/20	B.1.1
hCoV-19/India/DL-NCDC-90930/2020	Delhi	26/11/20	B.1.1
hCoV-19/India/DL-NCDC-90929/2020	Delhi	26/11/20	B.1.1
hCoV-19/India/DL-NCDC-90933/2020	Delhi	03/12/20	B.1.1
hCoV-19/India/DL-NCDC-90931/2020	Delhi	02/12/20	B.1.1
hCoV-19/India/DL-NCDC-90932/2020	Delhi	03/12/20	B.1.1
hCoV-19/India/DEL-NCDC-INSACOG-2209215/2020	Delhi	08/12/20	B.1.1
hCoV-19/India/DL-NCDC-709319/2020	Delhi	14/12/20	B.1.1
hCoV-19/India/DL-NCDC-809152/2020	Delhi	28/11/20	B.1.1
hCoV-19/India/DL-NCDC-90960/2020	Delhi	25/11/20	Others
hCoV-19/India/DL-NCDC-70938/2020	Delhi	23/12/20	Others
hCoV-19/India/DL-NCDC-90953/2020	Delhi	12/12/20	Others
hCoV-19/India/DL-NCDC-90952/2020	Delhi	12/12/20	B.1.1
hCoV-19/India/DL-NCDC-809211/2020	Delhi	01/12/20	B.1.1
hCoV-19/India/DL-NCDC-909146/2020	Delhi	03/12/20	B.1.1
hCoV-19/India/DL-NCDC-709354/2020	Delhi	18/12/20	Others
hCoV-19/India/DL-NCDC-609322/2020	Delhi	19/12/20	B.1.1
hCoV-19/India/DL-NCDC-809278/2021	Delhi	06/02/21	B.1
hCoV-19/India/DL-NCDC-1109110/2021	Delhi	15/02/21	B.1
hCoV-19/India/DEL-NCDC-INSACOG-130912/2021	Delhi	02/03/21	B.1.1
hCoV-19/India/DL-NCDC-1109111/2021	Delhi	16/02/21	B.1.1
hCoV-19/India/DL-NCDC-2009374/2021	Delhi	19/03/21	Others
hCoV-19/India/DL-NCDC-1109112/2021	Delhi	16/02/21	Others
hCoV-19/India/DL-NCDC-1109104/2021	Delhi	15/02/21	B.1
hCoV-19/India/DL-NCDC-809274/2021	Delhi	06/02/21	B.1.1
hCoV-19/India/DL-NCDC-809271/2021	Delhi	06/02/21	B.1.1
hCoV-19/India/DL-NCDC-809257/2021	Delhi	05/02/21	B.1.1
hCoV-19/India/DL-NCDC-1109107/2021	Delhi	15/02/21	B.1.1
