Strain	State	Collection Data	PANGO Lineage
hCoV-19/India/DL-NCDC-609360/2020	Delhi	16/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809228/2020	Delhi	05/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-709249/2020	Delhi	17/12/20	B.1
hCoV-19/India/DL-NCDC-7093/2021	Delhi	07/01/21	B.1.1.216
hCoV-19/India/DL-NCDC-909310/2020	Delhi	09/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-909312/2020	Delhi	12/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-709310/2020	Delhi	25/11/20	B.1.1.216
hCoV-19/India/DL-NCDC-709299/2020	Delhi	26/11/20	Others
hCoV-19/India/DL-NCDC-709242/2020	Delhi	22/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-110932/2021	Delhi	23/01/21	B.1.1.216
hCoV-19/India/DL-NCDC-110929/2021	Delhi	23/01/21	B.1.1.216
hCoV-19/India/DL-NCDC-609365/2021	Delhi	09/01/21	B.1.1.216
hCoV-19/India/DL-NCDC-909115/2020	Delhi	22/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-909102/2020	Delhi	21/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-909114/2020	Delhi	22/12/20	B.1
hCoV-19/India/DL-NCDC-909136/2020	Delhi	23/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809285/2020	Delhi	09/12/20	B.1
hCoV-19/India/DL-NCDC-7092/2020	Delhi	23/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-7095/2020	Delhi	03/12/20	Others
hCoV-19/India/DL-NCDC-909107/2020	Delhi	21/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-909341/2020	Delhi	02/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-909342/2020	Delhi	09/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-709223/2020	Delhi	23/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-909339/2020	Delhi	20/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-1509258/2021	Delhi	06/03/21	B.1.1.216
hCoV-19/India/DL-NCDC-609379/2020	Delhi	19/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-70980/2020	Delhi	21/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-1209299/2021	Delhi	04/03/21	B.1.1.216
hCoV-19/India/DL-NCDC-609314/2020	Delhi	18/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-609348/2020	Delhi	23/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809218/2020	Delhi	25/11/20	B.1
hCoV-19/India/DL-NCDC-809240/2020	Delhi	12/12/20	B.1
hCoV-19/India/DL-NCDC-809204/2020	Delhi	27/11/20	B.1.1.216
hCoV-19/India/DL-NCDC-809201/2020	Delhi	27/11/20	B.1.1.216
hCoV-19/India/DL-NCDC-809219/2020	Delhi	25/11/20	B.1.1.216
hCoV-19/India/DL-NCDC-809241/2020	Delhi	11/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809239/2020	Delhi	10/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809217/2020	Delhi	25/11/20	B.1.1.216
hCoV-19/India/DL-NCDC-70914/2020	Delhi	11/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-709265/2020	Delhi	23/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809160/2020	Delhi	20/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-709207/2020	Delhi	09/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-70976/2020	Delhi	21/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-70982/2020	Delhi	21/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-90914/2020	Delhi	21/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809115/2020	Delhi	21/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-909344/2020	Delhi	09/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809202/2020	Delhi	26/11/20	B.1
hCoV-19/India/DL-NCDC-709267/2020	Delhi	22/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809127/2020	Delhi	16/12/20	B.1
hCoV-19/India/DL-NCDC-90974/2020	Delhi	05/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-709285/2020	Delhi	28/11/20	B.1
hCoV-19/India/DL-NCDC-709188/2020	Delhi	28/11/20	Others
hCoV-19/India/DL-NCDC-709187/2020	Delhi	28/11/20	B.1
hCoV-19/India/DL-NCDC-709289/2020	Delhi	29/11/20	B.1.1.7
hCoV-19/India/DL-NCDC-709286/2020	Delhi	28/11/20	B.1.1.7
hCoV-19/India/DL-NCDC-1109152/2021	Delhi	18/02/21	B.1
hCoV-19/India/DL-NCDC-100987/2021	Delhi	09/02/21	Others
hCoV-19/India/DEL-NCDC-INSACOG-130951/2021	Delhi	03/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709344/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709315/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-609194/2021	Delhi	26/01/21	B.1
hCoV-19/India/DL-NCDC-2509167/2021	Delhi	04/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-1109120/2021	Delhi	20/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-100992/2021	Delhi	10/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-709382/2020	Delhi	27/11/20	B.1.1.7
hCoV-19/India/DL-NCDC-1109113/2021	Delhi	17/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-2309276/2021	Delhi	08/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-140976/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-200925/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-230944/2021	Delhi	05/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-2309123/2021	Delhi	07/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-170915/2021	Delhi	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409328/2021	Punjab	22/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-2309277/2021	Delhi	09/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409261/2021	Punjab	07/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1109194/2021	Delhi	12/02/21	B.1.1.7
hCoV-19/India/PB-NCDC-200980/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140932/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1209102/2021	Delhi	27/02/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409269/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409332/2021	Punjab	03/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-100993/2021	Delhi	10/02/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409221/2021	Punjab	06/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409268/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1209100/2021	Delhi	26/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-1109196/2021	Delhi	15/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-1609136/2021	Delhi	07/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409139/2021	Punjab	08/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140999/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409233/2021	Punjab	11/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-170935/2021	Delhi	18/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1209348/2021	Delhi	11/01/21	B.1.1.7
hCoV-19/India/DL-NCDC-809248/2021	Delhi	02/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-90992/2021	Delhi	10/02/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409196/2021	Punjab	08/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409300/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-609193/2021	Delhi	27/01/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909112/2021	Delhi	22/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409335/2021	Punjab	03/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140986/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1109372/2021	Delhi	20/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-1109115/2021	Delhi	18/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-609225/2021	Delhi	02/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-609245/2021	Delhi	31/01/21	B.1.1.7
hCoV-19/India/DL-NCDC-609222/2021	Delhi	01/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-150961/2021	Delhi	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709220/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209205/2021	Delhi	04/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409206/2021	Punjab	28/02/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009184/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409260/2021	Punjab	07/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-14093/2021	Punjab	05/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409105/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409104/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409101/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409103/2021	Punjab	06/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409123/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709291/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709372/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-909348/2021	Delhi	13/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-909349/2021	Delhi	13/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-909347/2021	Delhi	13/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-809263/2021	Delhi	06/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-90993/2021	Delhi	08/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909259/2021	Delhi	30/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140939/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2309235/2021	Delhi	06/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709260/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709261/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409356/2021	Punjab	08/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-1109375/2021	Delhi	22/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-609197/2021	Delhi	20/01/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409128/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140967/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209373/2021	Delhi	09/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409111/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909154/2021	Delhi	24/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-180914/2021	Delhi	21/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1109366/2021	Delhi	16/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-609224/2021	Delhi	30/01/21	B.1.1.7
hCoV-19/India/DL-NCDC-709147/2021	Delhi	04/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-709148/2021	Delhi	06/02/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409283/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409284/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2009362/2021	Delhi	22/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1709132/2021	Delhi	20/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-250936/2021	Delhi	13/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709377/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-90994/2021	Delhi	06/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-1609132/2021	Delhi	15/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209273/2021	Delhi	05/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-2009306/2021	Delhi	27/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409126/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-170974/2021	Delhi	17/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1209103/2021	Delhi	27/02/21	B.1.1.7
hCoV-19/India/PB-NCDC-140961/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709381/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709382/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-200979/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-200940/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-709149/2021	Delhi	06/02/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-130967/2021	Delhi	05/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709262/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209338/2021	Delhi	06/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-2309317/2021	Delhi	09/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709218/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709336/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-2309318/2021	Delhi	09/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-200972/2021	Punjab	16/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709289/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209100/2021	Delhi	31/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209101/2021	Delhi	31/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709254/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709208/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-230914/2021	Delhi	10/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209203/2021	Delhi	04/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909290/2021	Delhi	23/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-1309106/2021	Delhi	07/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-250910/2021	Delhi	13/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-1709291/2021	Delhi	19/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2809185/2021	Delhi	16/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-1709205/2021	Delhi	18/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-160912/2021	Delhi	13/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2809188/2021	Delhi	01/05/21	B.1.1.7
hCoV-19/India/DL-NCDC-2009220/2021	Delhi	27/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1709378/2021	Delhi	16/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140965/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-130999/2021	Delhi	24/02/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-1309100/2021	Delhi	03/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-160911/2021	Delhi	07/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1209298/2021	Delhi	04/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409156/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409174/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009145/2021	Punjab	18/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409143/2021	Punjab	07/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409141/2021	Punjab	07/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409120/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1109379/2021	Delhi	18/02/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409102/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409136/2021	Punjab	08/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140973/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009107/2021	Punjab	19/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409116/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009159/2021	Punjab	16/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-180920/2021	Delhi	20/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140979/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140983/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140994/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140951/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140956/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409238/2021	Punjab	11/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009177/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009179/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409177/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709297/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-140917/2021	Punjab	08/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709301/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-1309101/2021	Delhi	04/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2309268/2021	Delhi	10/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009174/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009101/2021	Punjab	19/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709339/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009133/2021	Punjab	19/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009193/2021	Punjab	19/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009102/2021	Punjab	19/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2309304/2021	Delhi	08/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409137/2021	Punjab	08/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009195/2021	Punjab	21/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140953/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140952/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140946/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409133/2021	Punjab	08/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209322/2021	Delhi	07/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409134/2021	Punjab	07/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409132/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409135/2021	Punjab	07/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140998/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409119/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709348/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409142/2021	Punjab	07/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909379/2021	Delhi	23/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-180917/2021	Delhi	23/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409155/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009143/2021	Punjab	18/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409131/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409178/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2009300/2021	Delhi	14/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409179/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009126/2021	Punjab	19/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409107/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409108/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409121/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-180936/2021	Delhi	19/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140911/2021	Punjab	06/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409165/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140918/2021	Punjab	08/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140945/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-170993/2021	Delhi	17/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009144/2021	Punjab	18/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409125/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140944/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409308/2021	Punjab	12/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-13091/2021	Delhi	26/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-1709269/2021	Delhi	20/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709300/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009116/2021	Punjab	19/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2509149/2021	Delhi	14/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409145/2021	Punjab	07/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709328/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1509102/2021	Punjab	26/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-2809187/2021	Delhi	01/05/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409183/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409184/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-200999/2021	Punjab	19/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009125/2021	Punjab	19/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209240/2021	Delhi	05/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-140977/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409298/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409354/2021	Punjab	05/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-1009217/2021	Delhi	08/02/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409262/2021	Punjab	01/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140929/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409214/2021	Punjab	06/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709299/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-2809361/2021	Delhi	29/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-120917/2021	Delhi	25/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-120916/2021	Delhi	25/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-120912/2021	Delhi	25/02/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209296/2021	Delhi	07/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1209106/2021	Delhi	27/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-120915/2021	Delhi	25/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-120911/2021	Delhi	25/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-120910/2021	Delhi	25/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-2009310/2021	Delhi	29/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709199/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209362/2021	Delhi	05/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409337/2021	Punjab	04/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409339/2021	Punjab	04/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409348/2021	Punjab	05/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140947/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140997/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-200914/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709320/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709354/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409365/2021	Punjab	03/02/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409190/2021	Punjab	07/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909254/2021	Delhi	23/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409124/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709352/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-200976/2021	Punjab	16/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709345/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709346/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709347/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009183/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-200960/2021	Punjab	16/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009180/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1109368/2021	Delhi	17/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-1109370/2021	Delhi	18/02/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409166/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009147/2021	Punjab	18/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409149/2021	Punjab	07/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140915/2021	Punjab	08/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-14098/2021	Punjab	06/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409185/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209221/2021	Delhi	01/04/21	B.1.1.7
